"Título de trazado: Manso Inferior"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, m/s (LGR S/N: 20210973, SEN S/N: 20203022)","Velocidad de Ráfagas, m/s (LGR S/N: 20210973, SEN S/N: 20203022)","Dirección del viento, ø (LGR S/N: 20210973, SEN S/N: 20203073)","PAR, µmol/m²/s (LGR S/N: 20210973, SEN S/N: 20210411)","Temp, °C (LGR S/N: 20210973, SEN S/N: 20215229)","HR, % (LGR S/N: 20210973, SEN S/N: 20215229)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20218250, LBL: 100 cm)","Presión, mbar (LGR S/N: 20210973, SEN S/N: 20218662)","Lluvia, mm (LGR S/N: 20210973, SEN S/N: 20219452)","Radiación solar, W/m² (LGR S/N: 20210973, SEN S/N: 20222394)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225097, LBL: 40 cm)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225099, LBL: 5 cm)","Contenido de agua, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225103, LBL: 20 cm)"
1,02/01/25 01:50:00 PM,1.01,7.05,263.9,1106.2,25.987,24.300,0.2240,950.550,,943.1,0.2000,0.0874,0.0925
2,02/01/25 02:00:00 PM,3.02,6.54,290.6,1741.2,26.280,22.400,0.2204,950.550,0.00,981.9,0.1957,0.0874,0.0933
3,02/01/25 02:10:00 PM,3.52,7.55,266.7,1761.2,26.573,20.600,0.2218,950.350,0.00,991.9,0.1971,0.0874,0.0940
4,02/01/25 02:20:00 PM,4.03,8.56,279.4,1883.7,26.916,19.000,0.2225,950.150,0.00,1009.4,0.1971,0.0882,0.0940
5,02/01/25 02:30:00 PM,4.03,8.05,273.8,1733.7,27.014,18.600,0.2262,949.950,0.00,954.4,0.2015,0.0882,0.0933
6,02/01/25 02:40:00 PM,3.52,8.56,268.1,1823.7,27.186,18.800,0.2247,949.950,0.00,981.9,0.2000,0.0882,0.0925
7,02/01/25 02:50:00 PM,4.53,10.57,287.8,1786.2,26.916,18.200,0.2225,950.050,0.00,980.6,0.1971,0.0889,0.0947
8,02/01/25 03:00:00 PM,5.03,9.06,285.0,1633.7,26.744,17.300,0.2211,950.050,0.00,889.4,0.1964,0.0889,0.0925
9,02/01/25 03:10:00 PM,5.03,9.56,289.2,1493.7,26.085,17.300,0.2218,949.950,0.00,848.1,0.1971,0.0889,0.0947
10,02/01/25 03:20:00 PM,4.53,8.56,287.8,1401.2,26.500,16.900,0.2240,949.750,0.00,778.1,0.1986,0.0889,0.0947
11,02/01/25 03:30:00 PM,4.03,8.05,286.4,1266.2,26.744,17.500,0.2225,949.650,0.00,750.6,0.1971,0.0889,0.0947
12,02/01/25 03:40:00 PM,4.03,7.55,283.6,1008.7,26.353,16.000,0.2211,949.650,0.00,541.9,0.1971,0.0896,0.0940
13,02/01/25 03:50:00 PM,4.53,8.56,285.0,721.2,25.866,16.400,0.2240,949.350,0.00,459.4,0.1986,0.0896,0.0918
14,02/01/25 04:00:00 PM,4.03,8.56,282.2,561.2,25.720,16.300,0.2254,949.050,0.00,385.6,0.1986,0.0896,0.0918
15,02/01/25 04:10:00 PM,3.52,7.55,285.0,641.2,26.109,15.800,0.2254,948.850,0.00,604.4,0.1978,0.0896,0.0940
16,02/01/25 04:20:00 PM,4.53,10.57,285.0,716.2,26.256,14.900,0.2240,949.050,0.00,594.4,0.1978,0.0896,0.0925
17,02/01/25 04:30:00 PM,4.03,10.07,279.4,613.7,26.085,15.800,0.2233,949.050,0.00,406.9,0.1971,0.0896,0.0947
18,02/01/25 04:40:00 PM,4.03,8.05,275.2,586.2,25.890,15.500,0.2225,948.850,0.00,485.6,0.1964,0.0896,0.0925
19,02/01/25 04:50:00 PM,4.53,9.56,286.4,516.2,25.598,16.300,0.2225,948.750,0.00,329.4,0.1964,0.0896,0.0940
20,02/01/25 05:00:00 PM,3.52,9.06,279.4,463.7,25.671,15.600,0.2211,948.750,0.00,319.4,0.1964,0.0896,0.0918
21,02/01/25 05:10:00 PM,4.53,10.07,271.0,446.2,25.647,15.700,0.2218,948.750,0.00,284.4,0.1957,0.0896,0.0918
22,02/01/25 05:20:00 PM,4.53,8.56,279.4,386.2,25.525,15.500,0.2218,948.650,0.00,358.1,0.1957,0.0896,0.0911
23,02/01/25 05:30:00 PM,4.53,10.07,279.4,441.2,25.186,16.100,0.2233,948.650,0.00,328.1,0.1971,0.0896,0.0940
24,02/01/25 05:40:00 PM,4.03,9.06,273.8,361.2,25.234,16.700,0.2254,948.550,0.00,243.1,0.2000,0.0896,0.0933
25,02/01/25 05:50:00 PM,4.03,8.56,273.8,331.2,24.871,18.100,0.2254,948.650,0.00,239.4,0.1993,0.0896,0.0918
26,02/01/25 06:00:00 PM,4.03,9.56,272.4,358.7,24.895,19.600,0.2284,948.650,0.00,338.1,0.2008,0.0896,0.0940
27,02/01/25 06:10:00 PM,3.52,7.05,287.8,396.2,24.629,21.600,0.2269,948.550,0.00,359.4,0.2008,0.0896,0.0940
28,02/01/25 06:20:00 PM,3.52,7.55,283.6,443.7,24.363,23.500,0.2276,948.850,0.00,335.6,0.2000,0.0889,0.0933
29,02/01/25 06:30:00 PM,4.53,8.56,283.6,486.2,23.857,25.000,0.2276,948.850,0.00,308.1,0.2008,0.0889,0.0925
30,02/01/25 06:40:00 PM,3.52,8.56,285.0,341.2,23.376,26.900,0.2320,949.050,0.00,210.6,0.2058,0.0889,0.0940
31,02/01/25 06:50:00 PM,3.52,10.57,282.2,243.7,22.896,28.800,0.2247,948.950,0.00,246.9,0.1986,0.0889,0.0918
32,02/01/25 07:00:00 PM,4.53,9.56,289.2,261.2,22.441,30.800,0.2225,949.150,0.00,183.1,0.1971,0.0889,0.0918
33,02/01/25 07:10:00 PM,4.53,10.57,276.6,276.2,22.082,31.900,0.2196,949.350,0.00,216.9,0.1957,0.0889,0.0933
34,02/01/25 07:20:00 PM,4.03,10.57,289.2,333.7,22.058,32.500,0.2160,949.450,0.00,219.4,0.1942,0.0882,0.0925
35,02/01/25 07:30:00 PM,4.03,8.56,282.2,401.2,21.748,32.800,0.2225,949.850,0.00,236.9,0.1978,0.0889,0.0918
36,02/01/25 07:40:00 PM,4.03,8.05,282.2,393.7,21.437,32.600,0.2160,949.850,0.00,223.1,0.1949,0.0882,0.0918
37,02/01/25 07:50:00 PM,4.53,9.56,287.8,376.2,21.103,32.900,0.2160,950.050,0.00,228.1,0.1949,0.0882,0.0918
38,02/01/25 08:00:00 PM,3.02,7.55,282.2,378.7,21.079,32.400,0.2116,950.550,0.00,230.6,0.1906,0.0882,0.0896
39,02/01/25 08:10:00 PM,2.52,7.55,263.9,383.7,20.841,32.600,0.2116,950.650,0.00,200.6,0.1906,0.0882,0.0889
40,02/01/25 08:20:00 PM,3.02,7.55,294.8,261.2,19.770,33.500,0.2116,950.850,0.00,73.1,0.1906,0.0882,0.0889
41,02/01/25 08:30:00 PM,3.02,6.54,300.4,126.2,18.937,35.700,0.2124,951.350,0.00,50.6,0.1913,0.0882,0.0911
42,02/01/25 08:40:00 PM,2.52,6.54,294.8,56.2,18.271,36.200,0.2124,951.650,0.00,29.4,0.1913,0.0882,0.0904
43,02/01/25 08:50:00 PM,2.01,4.53,292.0,41.2,17.796,37.100,0.2175,951.950,0.00,33.1,0.1949,0.0882,0.0918
44,02/01/25 09:00:00 PM,1.01,3.02,276.6,33.7,17.106,37.900,0.2218,952.050,0.00,16.9,0.1971,0.0874,0.0947
45,02/01/25 09:10:00 PM,1.51,3.52,251.3,11.2,16.820,37.900,0.2211,952.150,0.00,4.4,0.1971,0.0874,0.0947
46,02/01/25 09:20:00 PM,1.51,3.52,272.4,1.2,16.201,38.700,0.2276,952.250,0.00,1.9,0.2015,0.0874,0.0933
47,02/01/25 09:30:00 PM,1.01,3.02,272.4,1.2,15.581,39.600,0.2284,952.550,0.00,0.6,0.2008,0.0874,0.0962
48,02/01/25 09:40:00 PM,1.01,4.03,265.3,1.2,15.485,40.700,0.2276,952.750,0.00,0.6,0.2008,0.0874,0.0954
49,02/01/25 09:50:00 PM,1.51,4.53,273.8,1.2,15.342,41.400,0.2240,952.950,0.00,0.6,0.1986,0.0874,0.0918
50,02/01/25 10:00:00 PM,1.01,3.52,289.2,1.2,15.175,42.800,0.2225,953.150,0.00,0.6,0.1971,0.0874,0.0940
51,02/01/25 10:10:00 PM,1.01,3.52,300.4,1.2,14.697,43.400,0.2247,953.450,0.00,0.6,0.2000,0.0874,0.0918
52,02/01/25 10:20:00 PM,0.50,2.52,300.4,1.2,14.577,44.700,0.2225,953.550,0.00,0.6,0.1971,0.0867,0.0940
53,02/01/25 10:30:00 PM,1.01,4.03,300.4,1.2,14.816,45.800,0.2240,953.650,0.00,0.6,0.2000,0.0867,0.0918
54,02/01/25 10:40:00 PM,0.50,2.52,271.0,1.2,13.930,46.300,0.2240,953.750,0.00,0.6,0.1964,0.0867,0.0940
55,02/01/25 10:50:00 PM,0.00,2.01,241.5,1.2,13.522,48.200,0.2269,953.650,0.00,0.6,0.1993,0.0867,0.0925
56,02/01/25 11:00:00 PM,0.00,1.51,235.9,1.2,13.137,49.800,0.2240,953.550,0.00,0.6,0.1964,0.0867,0.0933
57,02/01/25 11:10:00 PM,0.00,1.51,235.9,1.2,12.413,50.800,0.2196,953.650,0.00,0.6,0.1949,0.0867,0.0925
58,02/01/25 11:20:00 PM,0.00,1.01,235.9,1.2,12.001,53.000,0.2218,953.650,0.00,0.6,0.1949,0.0860,0.0933
