"Plot Title: Manso Inferior"
"#","Date Time, GMT-03:00","Wind Speed, m/s (LGR S/N: 20210973, SEN S/N: 20203022)","Gust Speed, m/s (LGR S/N: 20210973, SEN S/N: 20203022)","Wind Direction, ø (LGR S/N: 20210973, SEN S/N: 20203073)","PAR, µmol/m²/s (LGR S/N: 20210973, SEN S/N: 20210411)","Temp, °C (LGR S/N: 20210973, SEN S/N: 20215229)","RH, % (LGR S/N: 20210973, SEN S/N: 20215229)","Water Content, m³/m³ (LGR S/N: 20210973, SEN S/N: 20218250, LBL: 100 cm)","Pressure, mbar (LGR S/N: 20210973, SEN S/N: 20218662)","Rain, mm (LGR S/N: 20210973, SEN S/N: 20219452)","Solar Radiation, W/m² (LGR S/N: 20210973, SEN S/N: 20222394)","Water Content, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225097, LBL: 40 cm)","Water Content, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225099, LBL: 5 cm)","Water Content, m³/m³ (LGR S/N: 20210973, SEN S/N: 20225103, LBL: 20 cm)"
1,01/13/25 02:30:00 PM,13.09,12.08,327.1,1728.7,23.160,29.800,0.2414,956.850,,980.6,0.2204,0.0998,0.1368
2,01/13/25 02:40:00 PM,2.01,5.03,287.8,1806.2,23.569,28.500,0.2356,956.450,0.00,1000.6,0.2160,0.0998,0.1347
3,01/13/25 02:50:00 PM,2.52,5.03,282.2,1758.7,23.785,27.000,0.2356,956.150,0.00,954.4,0.2160,0.0998,0.1339
4,01/13/25 03:00:00 PM,3.02,7.55,271.0,1773.7,23.352,26.300,0.2349,955.950,0.00,988.1,0.2153,0.0998,0.1339
5,01/13/25 03:10:00 PM,3.02,8.05,269.6,1796.2,23.905,25.900,0.2378,955.850,0.00,986.9,0.2160,0.1005,0.1354
6,01/13/25 03:20:00 PM,3.02,7.55,271.0,1823.7,24.315,25.200,0.2378,955.550,0.00,995.6,0.2167,0.1005,0.1354
7,01/13/25 03:30:00 PM,4.03,7.55,275.2,1756.2,24.291,25.800,0.2342,955.350,0.00,941.9,0.2146,0.1005,0.1332
8,01/13/25 03:40:00 PM,4.03,8.05,276.6,1793.7,24.219,25.400,0.2363,955.050,0.00,931.9,0.2153,0.1005,0.1339
9,01/13/25 03:50:00 PM,3.52,7.55,272.4,1791.2,24.460,24.600,0.2371,954.950,0.00,920.6,0.2160,0.1005,0.1347
10,01/13/25 04:00:00 PM,3.52,7.55,268.1,1811.2,24.581,24.700,0.2342,955.250,0.00,911.9,0.2146,0.1005,0.1332
11,01/13/25 04:10:00 PM,4.03,8.05,283.6,1756.2,24.412,24.600,0.2342,955.050,0.00,866.9,0.2138,0.1005,0.1332
12,01/13/25 04:20:00 PM,4.53,9.06,279.4,1738.7,24.122,24.100,0.2342,954.950,0.00,849.4,0.2146,0.1005,0.1325
13,01/13/25 04:30:00 PM,3.52,8.56,273.8,1518.7,24.750,24.300,0.2378,954.850,0.00,876.9,0.2167,0.1005,0.1347
14,01/13/25 04:40:00 PM,4.03,8.56,283.6,1576.2,24.532,24.000,0.2378,954.750,0.00,794.4,0.2167,0.1005,0.1347
15,01/13/25 04:50:00 PM,4.03,7.55,286.4,1456.2,24.532,24.000,0.2378,954.350,0.00,686.9,0.2167,0.1005,0.1354
16,01/13/25 05:00:00 PM,4.03,8.05,283.6,1556.2,24.847,24.100,0.2371,954.150,0.00,758.1,0.2160,0.1005,0.1339
17,01/13/25 05:10:00 PM,4.53,8.05,287.8,1473.7,24.412,24.200,0.2327,954.250,0.00,781.9,0.2124,0.1005,0.1318
18,01/13/25 05:20:00 PM,4.53,8.05,282.2,1496.2,24.050,24.500,0.2327,954.450,0.00,811.9,0.2131,0.1005,0.1325
19,01/13/25 05:30:00 PM,4.03,8.05,280.8,1416.2,24.243,24.600,0.2349,954.150,0.00,748.1,0.2153,0.1005,0.1332
20,01/13/25 05:40:00 PM,4.03,7.55,280.8,1246.2,23.208,24.400,0.2349,954.250,0.00,631.9,0.2153,0.1005,0.1332
21,01/13/25 05:50:00 PM,3.52,8.05,275.2,1403.7,23.954,24.500,0.2334,954.150,0.00,673.1,0.2131,0.1005,0.1325
22,01/13/25 06:00:00 PM,3.52,7.05,275.2,1018.7,23.280,24.700,0.2349,954.250,0.00,699.4,0.2153,0.1005,0.1332
23,01/13/25 06:10:00 PM,4.03,7.05,285.0,1208.7,23.785,24.500,0.2356,954.150,0.00,625.6,0.2153,0.1005,0.1332
24,01/13/25 06:20:00 PM,3.02,8.05,268.1,1201.2,23.472,24.700,0.2356,954.350,0.00,595.6,0.2153,0.1005,0.1332
25,01/13/25 06:30:00 PM,3.02,6.54,266.7,986.2,23.713,24.700,0.2356,954.350,0.00,278.1,0.2153,0.1005,0.1332
26,01/13/25 06:40:00 PM,3.52,8.56,279.4,798.7,22.034,25.900,0.2356,954.550,0.00,258.1,0.2138,0.1005,0.1325
27,01/13/25 06:50:00 PM,2.52,6.04,283.6,596.2,21.963,27.300,0.2349,954.850,0.00,246.9,0.2146,0.1005,0.1325
28,01/13/25 07:00:00 PM,3.02,6.54,275.2,361.2,20.770,27.500,0.2334,954.950,0.00,160.6,0.2146,0.0998,0.1318
29,01/13/25 07:10:00 PM,2.01,5.54,275.2,346.2,20.674,28.400,0.2356,954.950,0.00,196.9,0.2160,0.1005,0.1332
30,01/13/25 07:20:00 PM,2.52,7.05,289.2,416.2,20.627,28.100,0.2342,955.250,0.00,200.6,0.2146,0.0998,0.1325
31,01/13/25 07:30:00 PM,2.52,6.04,300.4,321.2,20.198,28.000,0.2327,955.450,0.00,159.4,0.2146,0.0998,0.1318
32,01/13/25 07:40:00 PM,2.01,6.04,300.4,298.7,19.912,29.200,0.2313,955.550,0.00,133.1,0.2131,0.0998,0.1310
33,01/13/25 07:50:00 PM,2.01,6.04,300.4,233.7,19.508,29.500,0.2320,955.850,0.00,111.9,0.2138,0.0998,0.1310
34,01/13/25 08:00:00 PM,1.51,4.03,299.0,221.2,19.151,29.800,0.2305,955.950,0.00,119.4,0.2124,0.0998,0.1303
35,01/13/25 08:10:00 PM,2.01,4.53,301.8,208.7,18.889,29.700,0.2305,956.050,0.00,105.6,0.2124,0.0998,0.1303
36,01/13/25 08:20:00 PM,0.50,3.02,283.6,173.7,18.414,31.100,0.2305,956.150,0.00,74.4,0.2124,0.0998,0.1303
37,01/13/25 08:30:00 PM,1.01,4.03,279.4,118.7,18.033,32.000,0.2313,956.350,0.00,53.1,0.2131,0.0998,0.1310
38,01/13/25 08:40:00 PM,1.51,4.03,294.8,76.2,17.605,34.300,0.2320,956.450,0.00,31.9,0.2131,0.0998,0.1310
39,01/13/25 08:50:00 PM,2.01,5.03,294.8,58.7,17.296,36.000,0.2320,956.650,0.00,28.1,0.2131,0.0991,0.1310
40,01/13/25 09:00:00 PM,1.51,3.52,306.1,31.2,16.987,37.300,0.2327,956.850,0.00,9.4,0.2138,0.0991,0.1318
41,01/13/25 09:10:00 PM,1.51,5.54,299.0,13.7,16.796,38.600,0.2298,957.050,0.00,4.4,0.2116,0.0991,0.1296
42,01/13/25 09:20:00 PM,1.51,4.53,307.5,6.2,16.415,39.600,0.2298,957.150,0.00,1.9,0.2116,0.0991,0.1303
43,01/13/25 09:30:00 PM,1.51,5.03,314.5,1.2,16.225,40.000,0.2313,957.250,0.00,3.1,0.2131,0.0991,0.1310
44,01/13/25 09:40:00 PM,1.51,4.53,315.9,1.2,15.963,40.600,0.2327,957.350,0.00,0.6,0.2138,0.0991,0.1318
45,01/13/25 09:50:00 PM,1.01,3.02,282.2,1.2,15.557,41.900,0.2327,957.650,0.00,0.6,0.2138,0.0983,0.1310
46,01/13/25 10:00:00 PM,0.00,1.51,271.0,1.2,15.103,43.100,0.2327,957.750,0.00,0.6,0.2124,0.0983,0.1318
47,01/13/25 10:10:00 PM,0.50,2.52,261.1,1.2,15.079,43.700,0.2334,957.850,0.00,0.6,0.2124,0.0983,0.1318
48,01/13/25 10:20:00 PM,0.50,2.01,268.1,1.2,14.625,44.600,0.2320,957.750,0.00,0.6,0.2124,0.0983,0.1310
49,01/13/25 10:30:00 PM,0.50,3.02,272.4,1.2,14.146,45.800,0.2349,957.650,0.00,0.6,0.2124,0.0983,0.1325
50,01/13/25 10:40:00 PM,0.50,2.52,285.0,1.2,13.810,47.900,0.2356,957.750,0.00,0.6,0.2131,0.0983,0.1325
51,01/13/25 10:50:00 PM,0.50,3.02,249.9,1.2,13.497,47.500,0.2356,957.750,0.00,0.6,0.2131,0.0983,0.1325
52,01/13/25 11:00:00 PM,0.50,2.52,265.3,1.2,13.473,48.900,0.2363,957.550,0.00,0.6,0.2146,0.0983,0.1332
53,01/13/25 11:10:00 PM,1.01,4.03,259.7,1.2,13.425,47.800,0.2363,957.950,0.00,0.6,0.2153,0.0976,0.1332
54,01/13/25 11:20:00 PM,0.50,2.52,287.8,1.2,12.461,48.900,0.2378,957.950,0.00,0.6,0.2167,0.0976,0.1339
55,01/13/25 11:30:00 PM,0.00,1.01,299.0,1.2,11.759,49.900,0.2465,957.950,0.00,0.6,0.2218,0.0976,0.1368
56,01/13/25 11:40:00 PM,0.00,1.51,289.2,1.2,11.200,52.200,0.2487,958.250,0.00,0.6,0.2247,0.0976,0.1383
57,01/13/25 11:50:00 PM,0.00,1.51,237.3,1.2,11.516,52.300,0.2509,958.250,0.00,0.6,0.2269,0.0976,0.1390
58,01/14/25 12:00:00 AM,1.51,3.52,210.6,1.2,12.968,50.600,0.2560,958.050,0.00,0.6,0.2320,0.0976,0.1412
59,01/14/25 12:10:00 AM,1.51,4.03,242.9,1.2,12.389,49.000,0.2530,958.550,0.00,0.6,0.2291,0.0976,0.1397
60,01/14/25 12:20:00 AM,1.01,3.02,242.9,1.2,12.534,49.300,0.2516,958.550,0.00,0.6,0.2262,0.0969,0.1390
61,01/14/25 12:30:00 AM,1.51,3.52,235.9,1.2,12.775,48.600,0.2509,958.750,0.00,0.6,0.2262,0.0969,0.1390
62,01/14/25 12:40:00 AM,2.01,4.03,231.6,1.2,12.968,48.000,0.2501,958.850,0.00,0.6,0.2254,0.0969,0.1383
63,01/14/25 12:50:00 AM,1.51,4.53,254.1,1.2,12.606,48.600,0.2501,958.850,0.00,0.6,0.2254,0.0969,0.1383
