ID;LAT;LONG;Datetime;DIA;MES;HORA;TEMP;RH;WS;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
PasoElLeon;-41;-71;2024-02-26T19:00:00Z;26;2;19;26,910;29,3;0,842;0,000;90,777;9,376;21,048;4,996;9,325;5,215;0,506
PasoElLeon;-41;-71;2024-02-27T14:00:00Z;27;2;14;20,320;40,6;6,764;0,000;90,645;11,544;25,909;6,607;11,493;7,569;0,978
PasoElLeon;-41;-71;2024-02-27T15:00:00Z;27;2;15;20,430;53,5;7,654;0,000;88,913;13,251;30,791;5,390;13,216;6,761;0,801
PasoElLeon;-41;-71;2024-02-27T16:00:00Z;27;2;16;18,620;55,7;7,056;0,000;88,013;14,740;35,346;4,596;14,720;6,178;0,683
PasoElLeon;-41;-71;2024-02-27T17:00:00Z;27;2;17;16,670;74,9;8,658;0,000;84,858;15,500;39,551;3,193;15,659;4,452;0,382
PasoElLeon;-41;-71;2024-02-27T18:00:00Z;27;2;18;15,990;72,9;9,518;0,000;84,369;16,290;43,633;3,120;16,852;4,554;0,398
PasoElLeon;-41;-71;2024-02-27T19:00:00Z;27;2;19;15,890;80,3;9,000;0,000;82,974;16,860;47,697;2,530;17,901;3,774;0,285
PasoElLeon;-41;-71;2024-02-27T20:00:00Z;27;2;20;15,630;86,8;6,113;0,000;81,177;17,237;51,715;1,758;18,805;2,496;0,137
PasoElLeon;-41;-71;2024-02-27T21:00:00Z;27;2;21;15,500;83,0;8,474;0,000;81,177;17,718;55,709;1,981;19,740;3,036;0,194
PasoElLeon;-41;-71;2024-02-27T22:00:00Z;27;2;22;15,370;87,8;8,244;0,000;80,419;18,060;59,679;1,799;20,563;2,776;0,166
PasoElLeon;-41;-71;2024-02-27T23:00:00Z;27;2;23;14,710;84,6;4,608;0,000;80,419;18,475;63,531;1,498;21,396;2,229;0,112
PasoElLeon;-41;-71;2024-02-28T00:00:00Z;28;2;0;14,470;90,7;7,200;0,000;79,264;18,722;67,340;1,517;22,090;2,339;0,122
PasoElLeon;-41;-71;2024-02-28T01:00:00Z;28;2;1;13,650;94,9;4,511;0,000;77,356;18,851;71,001;1,122;22,660;1,417;0,050
PasoElLeon;-41;-71;2024-02-28T02:00:00Z;28;2;2;12,760;95,2;4,169;0,000;76,619;18,964;74,502;1,044;23,178;1,216;0,038
PasoElLeon;-41;-71;2024-02-28T03:00:00Z;28;2;3;12,830;94,2;4,540;0,000;76,619;19,102;78,015;1,064;23,698;1,337;0,045
PasoElLeon;-41;-71;2024-02-28T04:00:00Z;28;2;4;11,620;96,2;3,960;0,000;75,869;19,184;81,311;0,984;24,133;1,057;0,030
PasoElLeon;-41;-71;2024-02-28T05:00:00Z;28;2;5;10,840;98,0;2,430;0,000;74,762;19,225;84,466;0,854;24,506;0,882;0,022
PasoElLeon;-41;-71;2024-02-28T06:00:00Z;28;2;6;10,730;99,4;4,525;0,000;73,621;19,237;87,601;0,898;24,838;0,935;0,024
PasoElLeon;-41;-71;2024-02-28T07:00:00Z;28;2;7;10,460;100,0;2,840;0,000;72,919;19,237;90,688;0,800;25,141;0,840;0,020
PasoElLeon;-41;-71;2024-02-28T08:00:00Z;28;2;8;9,990;100,0;1,984;0,000;72,646;19,237;93,690;0,758;25,424;0,802;0,018
PasoElLeon;-41;-71;2024-02-28T09:00:00Z;28;2;9;10,220;99,8;2,498;0,000;72,646;19,241;96,734;0,778;25,701;0,829;0,020
PasoElLeon;-41;-71;2024-02-28T10:00:00Z;28;2;10;10,990;100,0;2,920;0,000;72,629;19,241;99,916;0,794;25,976;0,852;0,020
PasoElLeon;-41;-71;2024-02-28T11:00:00Z;28;2;11;12,170;92,4;3,168;4,284;36,645;12,850;97,576;0,020;19,335;0,018;0,000
PasoElLeon;-41;-71;2024-02-28T12:00:00Z;28;2;12;13,600;81,6;3,424;4,284;32,036;8,514;95,526;0,007;13,925;0,005;0,000
